"","Product.type","MalagasyName","EnglishName","LocalName","ScientificName","FinalName"
"3003","HORITA","Horita","Octopus","","","Horita"
"3004","ANTSISY","Fia Antisy","No idea but these seem to go together","","","Fia Antisy"
"3005","TSABEAKE","","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHRINUS NEBULOSUS, LETHEINUS NEBULOSUS","TSABEAKE"
"3006","SORONALE","Soronale","Fish","SORONALE","LUTJANUS FULVIFLAMMA, LUTJANUS KASMIRA","SORONALE"
"3007","TAPAPOROHA","Tapaporaha","","","","Tapaporaha"
"3008","HORITA","Horita","Octopus","","","Horita"
"3009","ANGISY","Angisy","Squid","","","Angisy"
"3010","HORITA","Horita","Octopus","","","Horita"
"3011","HORITA","Horita","Octopus","","","Horita"
"3012","HORITA","Horita","Octopus","","","Horita"
"3013","TAPAPOROHA","Tapaporaha","","","","Tapaporaha"
"3014","HORITA","Horita","Octopus","","","Horita"
