"","Word_Malagasy"
"1034","BELA"
"1035","10"
"1036","21"
"1037","TAPAGONY"
"1038","SIHOA 1"
"1039","22"
"1040","14"
"1041","FAIRARA"
"1042","MOSORA"
"1043","HAMBY"
"1044","LOSOLOSO"
"1045","LIVA BE"
"1046","DANGARODE"
"1047","VOLOMPIHAMY"
"1048","ANJARANTSORABY"
"1049","SAROBE"
"1050","ANTSERAK'ANTSIVA"
"1051","VOTSANDRA"
"1052","TSABORO"
"1053","FIAN'AKOHO"
"1054",""
"1055","ZANGA"
"1056","LEME"
"1057","BADIGA"
"1058","SOKE"
"1059","BOZIKE"
"1060","LEMA"
"1061","HOVOHOVO"
"1062","TSONTSO"
"1063","LIVA MALINIKE"
"1064","JONKA"
"1065","ANDEMA"
"1066","FAIGITARA"
"1067","BETAMPE"
"1068","BOTANA"
"1069","LAMERA"
"1070","KATRA"
"1071","LEJALEJA"
"1072","GOGO"
"1073","BEJA"
"1074","LIVA KELY"
"1075","MPANISY"
"1076","ANTSIVA"
"1077","JAKAKE"
"1078","VOTSANDRA"
"1079","LIVA"
"1080","TSORABY"
"1081","FIAMBONJO"
"1082","AOMBILAHINJIAKE"
"1083","ONDAN-DOLO"
"1084","HORITAN'AKORA"
"1085","TAKALO"
"1086","HIMA"
"1087","LANILANY"
"1088","LIVA BE"
"1089","VALORIRA"
"1090","MOROY"
"1091","FAY GITARA"
"1092","TONA"
"1093","VOLOMPIHAMITSE"
"1094","LAGNILAGNY"
"1095","ANJARAME"
"1096","BENJA"
"1097","DIVIKE"
"1098","ANGY"
"1099","FAY"
"1100","TSOTSO"
"1101"," LEME"
"1102","FIANTSIFA"
"1103","TSABOROKODO"
"1104","ANGISINDOLO"
"1105","AMOZO"
"1106","LOMOTSE"
"1107","OMOTSE"
"1108","JOKA"
"1109","DRANGO"
"1110","MARONOGNE"
"1111","KILOKA"
"1112","AMPOZO"
"1113","PANIISY"
"1114","PANISY"
"1115","TABOKINA"
"1116","TSOBARY"
"1117","BADIKA"
"1118","TANDALY"
"1119","HORITANDOLO"
"1120","BOALY"
"1121","KOROTANAKORA"
"1122","AMBASISY"
"1123","MOLONTO"
"1124","VALOTAMPAKE"
"1125","MENASOFY"
"1126","DABANJIAKE"
"1127","FIANAKOHO"
"1128","TOHO"
"1129","KABO"
"1130","HAMBY"
"1131","FAYLEJALEJA"
"1132","MPOZO"
"1133","DRAGON"
"1134","BONTANA"
"1135","TSILATSILATSE"
"1136","KODA"
"1137","LAFIDAKA"
"1138",""
"1139","LEME"
"1140","TSONTSO"
"1141","KATRA"
"1142","VALORIRA"
"1143","HORITAN'AKORA"
"1144","BOZIKE"
"1145","BEJA"
"1146","HOVOHOVO"
"1147","TSORABY"
"1148","BADIGA"
"1149","BOTANA"
"1150","ZANGA"
"1151","LIVA"
"1152","VALOTAMPAKE"
"1153","HIMA"
"1154","TAKALO"
"1155","LAMERA"
"1156","KABO"
"1157","TONA"
"1158","TABAKE"
"1159","ANGY"
"1160","FIANAKOHO"
"1161","TSABOROKODO"
"1162","TSOBOKORODO"
"1163","TABIKINA"
"1164","AMPOZO"
"1165","HIAHIA"
"1166","BETAMPE"
"1167","PANISY"
"1168","LEJALEJA"
"1169","KILOKA"
"1170","ANJARAME"
"1171","FIANTSIFA"
"1172","FIAMBONJO"
"1173","DABANJIAKE"
"1174","HORITANDOLO"
"1175","MPANISY"
"1176","FAY GITARA"
"1177","LAGNILAGNY"
"1178","FAY"
"1179","ANTSERAK'ANTSIVA"
