Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2011,MASSACHUSETTS,"FLOUNDER, SUMMER",1132191.00,514,2559833.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2011,MASSACHUSETTS,"FLOUNDER, SUMMER",547371.00,248,,Public,Recreational,,172735,MRIP
2011,NEW JERSEY,"FLOUNDER, SUMMER",5570843.00,"2,527",,Public,Recreational,,172735,MRIP
2011,NEW JERSEY,"FLOUNDER, SUMMER",2830736.00,"1,284",5461028.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2011,NEW YORK,"FLOUNDER, SUMMER",1517022.00,688,3731878.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2011,NEW YORK,"FLOUNDER, SUMMER",2990749.00,"1,357",,Public,Recreational,,172735,MRIP
2011,NORTH CAROLINA,"FLOUNDER, SUMMER",311577.00,141,,Public,Recreational,,172735,MRIP
2011,RHODE ISLAND,"FLOUNDER, SUMMER",2824026.00,"1,281",6408155.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2011,RHODE ISLAND,"FLOUNDER, SUMMER",1277124.00,579,,Public,Recreational,,172735,MRIP
2011,VIRGINIA,"FLOUNDER, SUMMER",4064520.00,"1,844",5956112.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2011,VIRGINIA,"FLOUNDER, SUMMER",1855467.00,842,,Public,Recreational,,172735,MRIP
2010,CONNECTICUT,"FLOUNDER, SUMMER",308340.00,140,850475.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2010,CONNECTICUT,"FLOUNDER, SUMMER",270238.00,123,,Public,Recreational,,172735,MRIP
2010,DELAWARE,"FLOUNDER, SUMMER",1858.00,1,4592.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2010,DELAWARE,"FLOUNDER, SUMMER",447733.00,203,,Public,Recreational,,172735,MRIP
2010,MARYLAND,"FLOUNDER, SUMMER",249829.00,113,512535.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
