"","WORDS_INDATA","NAME_OTHER","LOCAL_ANIRA","SCI_NAME"
"88","FVORAMADAKE, FVORAMASAKE, FVORAMASAKE, FVORAMASAKE, FVORAMASAKY, FVORRAMASAKE, FVRAMASAKE, VORAMASAKE,FIA VORAMASAKE, VOARAMASAKE, VORAMASAE, VORAMASAKA, VORAMASAKE , VORAMASAKE MALINIKY, VORAMASAKY, VORAMASAKY MALINIKY, VORAMASALE, VORAMSAKE, VOROMASAKA, VOROMASAKE","","VORAMASAKE,VORAMASAEKE","SIGANUS NETOR, SIGANUS SUTOR<A0>, SIGANUS SUTOR, SIGANUS STELLATUS"
"89","FVOTOSAKA, FVOTSANDRA, FVOTSANDRA, FVOTSANDRA, FVOTSO, VOTSANJA, FVOTSANDRA, VOTSANDRA, VOTSANDRA, VOTSODA, FVONTSO, VONITSANDRA, VONTSANDRA, VONTSANJA,  VOSANJA, VOTANDRA, VOTRANDRA, VOTSA, VOTSAMDRA, VOTSANDA, VOTSANJA , VOTSO","","VOTSANDRA,VOTSANJA,VOTSANDRA SAMPA","BALISTAPUS UNDULATUS, SUFFLAMEN BURSA, BALISTOIDES VIRIDESENS, PSEUDOBALISTES FURCUS, ODUNUS NIGER, ABALISTES STELLATUS, BALISTOIDES VIRIDESCENS, PSEUDOBALISTES FUSCUS, ODONUS NIGER"
"90","FAY, FAY, FAY, FAY  , FAY , FAY VANDA, FAAY, FALE, FAY , FAY B, FAY BE, FAY BEVATA, FAY,   FAY, ZANGA,  FAYLEJALEJA","Ray","",NA
"91","FONGIKE, FFONGIKE, ONGOKE","","ONGIKE, ONGIKY","SCOLOPSIS GHANAM, MACOLOR NIGER, BODIANUS ANTHIOIDES"
"92","GEBA, SAREGEBA , SARIBEBA","","GEBA","HERKIOTSICHTHYS QUADRIMACULATUS, HERKLOTSICHTHYS QUADRIMACULATUS"
"93","L, L , LAMERA, LAMERA, LAMERA, LAMERA TANAMPANO, LAMERANKENA, LLAMERA,  LAMAIRA, LAMEERA, LAMERA , LAMERA BADIGA, LAMERA BADIJA, LEMERA","","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA","GYMNOTHORAX JAVANICUS, ECHIDNA NEBULOSA, GYMNOMURAENA ZEBRA, GYMNOTORAX JAVANICUS"
"94","FSAPIATA,SAMPIATA, SAPIATA, SAPIATA, FSAPIATA","","SAPIATA","CTENOCHAETUS STRIATUS, ACANTHURUS NIGROFUSCUS, CTENOCHAETUS TRUNCATUS, CTENOSCHRETUS STUATUS, HALICHOERES NIGRESCENS"
"95","TAKALO, TAKALO, TAKAHO","","TAKALO,TAKALO VAVY","OSTRACION MELEAGRIS, OSTRACION CUBICUS"
"96","ANJARAME","","ANDRARAME,ANDRARAMY","ACANTHURUS TRIOSTEGUS"
"97","BOTANA, BONTANA, BOTAN, BOTANA , BOTANA MALINIKE, BOTANA, , BOTANA, BOTANA","","BOTANA,BOTANA KATSA,BOTANA LOVO","AROTHRON NIGROPUNCTATUS, CANTHIGASTER AMBOINENSIS, CANTHIGASTER BENNETTI, CANTHIGASTER PETERSII, CANTHIGASTER SMITHAE, CANTHIGASTER SOLANDRI, CANTHIGASTER VALENTINI, AROTHRON HISPIDUS"
"98","DORATE, DOROTE","","DROITE, DROITES","CORYPHAENA HIPPURUS<A0>, CORYPHAENA HIPPURUS"
"99","TSABOKOKODO, TSABOKORAODO, TSABOKORODO, TSABORANDANDA, TSABOREKODE, TSABORO, TSABOROKODO, TSABOROKONDO, TSABORONKODO, TSAMBOROKODE, TSAMBOROKODO , TSOBOKORODO","","TSIKOROKODO","STEGASTES NIGRICANS, NEOGIYPHIDODON MELUS"
"100","FSABONTO,","","SABONTO,SABONTO BOLE,SABONTO JAUNE,SABONTO LAVAHOHY,SABONTO MAINTE","THUNNUS OBESUS, THUNNUS ALBOCORES, RASTRELLIGER KANAGURTA, KATSUWONUS PELAMIS, EUTHYNNUS AFFINIS, SCOLOPSIS GHANAM, THUNNUS ALBACARES, CENTROPYGE BISPINOSA"
