"","WORDS_INDATA","ENGLISH_SOPHIE","MALAGASY_SOPHIE","SOURCE","LOCAL_ANIRA","NAME_OTHER"
"161","TSITSIKE, TSITSIKE, TSITSIKE, TSIYSIKE, T SITSIKE, TSITSIKY, TSITIKE, TSITSIKA,","","","","",""
"162","FIA TSOIKE, TASOIKE,TSOIK, TSOIKE, TSOIKE , TSOIKE,TSIOKE","","","","",""
"163","FTSORABY, FTSORABY, FTSORABY, ANJARANTSORABY, F,TSORABY, TSORABY, ANTSORABY, TSOBARY","","","","",""
"164","FTSOBARIAKE","","","","",""
"165","BOTANA","","","","",""
"166","LEME,LEME,","","","","",""
"167","VALOZORO,","","","","",""
"168","FVALALA, FVALALA, FVALALA, FVALALA,VALALA, FIA VALALA, FIAVALALA, VALALA FIA, VALALA TAITSE, VALALAFIA, VALALAMPASY, VALALATAITSE","","Valalataitse","","",""
"169","VALORIRA, VALORORA,","","","","",""
"170","FVAREVIKE, FVAREVIKE, FVAREVIKE, FVARIVIKE, VAREVEK",""," Varevike","","",""
"171","VOROMAMJEA, VOROMANDREA, VOROMANJEA","","","","",""
"172","FAY TATAMA, FAY TATAMO","","Fay tatama","","",""
"173","BADIGA","","","","",""
"174","FAY GITARA, FAYGITARA","","Fay Gitara","","",""
"175","FAY ANDEMA, ANDEMA","Rhinobatos","Fay Andema","BV","",""
"176","FELA, KOKIAZY","Cypraediae/ cowries","Fela/ Kokiazy","BV","",""
"177","H NAKORA, H NAKORA, HNAKORA, HNAKORA, HNAKORA, HNAKORRA, AKORA,  HORITA AKORA, HORITANAAKORA,  HORITANAKORA,  HORITANAKORA ,  KOROTANAKORA","Octopus aegina","Horita nakora","BV","",""
"178","LANGOSTE, LANGOUSTA, LANGOUSTE","Lobster","Langousta","","",""
"179","BOZIKE","","","","",""
"180","ZANGA","","","","",""
"181","ANGISINDOLO","Squid","","","",""
"182","FLEDRA, FLEDRALEDRA, FLEDRALEDRA, LEDRALE, LEDRALEDRA, LEJALEJA, LEJELEJA, LEJELEJE, LAEJALEJA","Fish","Lejaleja","","",""
"183","FMPILEVE, FPILEVE, FIA MPILEVE","","Pileve?","","",""
"184","FANO BE, FANO","Turtle","Fano","BV","",""
"185","FITSATSAKE, FOTITSETSAKE, TSAKEAKE,","","","","",""
"186","HIMA","Giant Clam (no species given)","Hima","Caitlin","",""
"187","HOVOHOVO, HVOHOVO,HOVOHOVO","Obicular batfish/ Platax orbicularis","Hovohovo","Caitlin","",""
"188","SOKE, SOKY","Tripneustes gratilla","Soke","","",""
"189","BADIGA,","Fish","","","",""
"190","","","","","",""
"191","","","","","",""
"192","","","","","",""
"193","","","","","",""
