Word (MG),Word (ENG),In data examples,Source,Possible Local Name
,,"F.Kapoake, ""F.KAPOAKE"", ""FIA ANKAPOAKE"", ""FIAKAPOAKE"", ""FIAKAPOKE""",,
,," ""Kapilany""",,
Fia Terake?,,"""F.Aterake""",,
Taratake,,"""KARATAKE"", ",,
,,"F.kely terake,""KELETERAKE""",,
Kifalaoke,,"""F.Kifalaotse"", ""F.KIFALAOTSE"", ""KIFALAOTSE"", ""KIFALATSE"", ""KIFALITSE""",BV,Kifalaotse
,,"""KIFO"" ",,kifo
Fia Lafo,Red lionfish/ pterois volitans,"""F.Lafo"", ""LAFO""",Caitlin,Lafo
,,"  ""LAFIDAKA""",,Lafendaka
Lamatra,Kanadi Kingfish/ scombermorus plurilineatus,"""F.lamatra"", ""F.Lamatra"", ""F.LAMATRA"", ""F.Lamatsa"", ""F.LAMATSA"", ""lamatra"", ""LAMATSA"", ""Lamatra"", ""lanatra""",Caitlin,"""Lamatsa"",""Lamatra"",""Lamantra"",""lamantra"""
Fia Lanora,Yellowspotted or giant trevally/ caragoides fulvoguttatus or Caranx ignobilis,"""F.lanora"", ""F.Lanora"", ""F.LANORA"", ""F.llanora"", ""LANORA"", ""FIA LANORA"",  ""LANORA "", ""LANORA KELY"", ""LANORA KELY/ANAN-DANORA"",  ""LONORA""",Caitlin,Lanora
Lani Lani?,,"""F.lanilany"", ""F.LANILANY"", ""LANILANY"", ""LANILAY"", ""LAGNILAGNY"",  ""LAGNILANGY"", ""LANGILANGY"", ",,Lanilany
,," ""F.lavanify"", ""F.Lavanify"", ""F.LAVANIFY"",""LAVANIFY""",,Lavanify
Fia Leme,Dusky Parrotfish/scarus niger,"""F.Leme"", ""F.LEME"", ""LEME"", "" LEME"",  ""FIA LEME"", ""FIALEME"",  ""LAME"" , ""LEMA"", ""LEME "", ""LEME,"", ""LEME, ""LEME ""LEME,HIMA"", ""LEMELEME""  ",Caitlin,"""leme"",""Leme"""
,,"TAKALO""",,Takalo
,,"AMPOZO""",,Ampozo
Lemepase?,,"""LEMEMPASE"", ""LEMEPASE"" ",,
Fia Lovo,Bluespotted or coral grouper / cephalopholis argus or cephalopholis miniata,"""f.lovo"", ""f.loVO"", ""F.lovo"", ""F.LOVO"" F.lovo "" F.lovo sara"", ""F.lovohara"", ""F.Lovohara"", ""F.LOVOHARA"", ""F.lovoho"", ""LOVO"", ""LOVOHARA"", ""lovobe"",  ""LOSOLOSO"", ""LOVOFISAKA"", ""LOVOKABO"" , ""OLOVO"", ""OLOVOANGARERA"", ""OLOVOKABO"",  ""FIA OLOVO""",Caitlin. Note: BV report gives different scientific names for grouper. Not sure which should be used,Lovo
Fianakanga,,"""F.lovonakanga"", ""F.LOVONAKANGA"", ""FIAKANGA"",  ""FIAN`AKANGA"", ""FIANAKANGA"", ""FIANAKNGA"", ""FIANAKOHO"", ""FIANAKONJO"", ""FIAN'AKOHO"", ""FIANKANGA"", ""FIIANAKANGA""",,Lovoharanakanga
Fia Mainte?,,"""F.mainte"", ""F.Mainte"", ""F.mainte "", ""F.mainty"", ""F.maite"", ""F.mante"", ""FIA MAINTY"", ""Fmainte""",,
Fia Mantafao,,"""F.Mantafao"", ""MANTAFAO"", ""MATAFAO""",,
Malily,Black and yellow grouper/ Epinephelus flavocaeruleus,"""F.Malily"", ""F.maliniky"", ""M.malily"", ""MALILA""",Caitlin,Malily
,," ""ANTSERAKE MALINIKE""",,Antserake Antsivo
Fia Mandredre,," ""F.Mandredre"", ""F.Mandrendre"", ""F.MANDRENDRE"", ""MANDRENDRE""",,
,,"F.mandreandovoke,",,
Fia Mena,"Squirrelfish, Holocentrinae","""F.mena"", ""F.Mena"", ""F.MENA"", ""F.Mena "", ""F.Mena  "", ""F.MENA BEMASO"", ""FIA MENA""",BV,
,,", ""F.menasofy"", ""F.Menasofy"", ""F.MENASOFY"",""MENASOFY""",,Menasofy
Fia Molonto ,,"""F.Molonto"", ""F.MOLONTO"", ""MOLONTO"", ""MOLOTO"" ",,"""Molonto"",""Moloto"""
Fia Moroy,Lionfish,"""F.Moroy"", ""MOROY"", ""Morosy"", ""F.moroy"", ""F.MOROY"", ""Moroy "", ""MORAY"", ""MOROY,  ""ROY""",BV,
,Fish,"BADIGA""",,
Fay rara,,"""F.rara"", ""F.Rara"", ""fay rara"", ""Fay rara"", ""Fay Rara"", ""FAY RARA"", ""Rara Fay"", ""FIARARA"", ""FIRARA""",,
,,"""Rasa Fay """,,
Fia Salabaro,Snapper/ Lutjanus gibbus," ""F.SALABARO"", ""SABALARO"",  ""SALABARO""",BV ,Salabaro
,,F.sakavoto,,
Savisavy,Fish,"""F,SAVESAVE"", ""F..savesave"", ""F.savesae"", ""F.savesave"", ""F.Savesave"", ""F.SAVESAVE"", ""F.savesavy"", ""F.savisavy"", ""F.SAVISAVY"", ""F;savesave""",,
,,"""Fay sify"", ""Fay Sify""",,
Fia Soroboa,Giant or grayspotted Guitarfish/ rhynchobatus dijddensis or acroteriobatus leucospilus,"""F.soroboa"", ""F.SOROBOA"",  ""SOROBOA"", ""SOROB OA"", ""Soroboa"", ""soroboa"", ""SOROBOAE""",Caitlin,
,," ""sohaba""",,
Soronale,Fish,"SORONALE,""F.Soronale"", ""F.SORONALE"",""SORONALY""",,Soronale
Fia Tabaky/ Fia Tsabeake,Ember parrotfish/ scarus rubroviolaceus,"""F.tabake"", ""F.Tabake"", ""F.TABAKE"", ""F.TABAKY"", ""F.tabike"", ""tabaky"",, ""FIA TABAKE"", ""TABAK"", ""TABAKA"", ""TABAKE"",  ""TABAVI"", ""TABKE"", ""TABOKE"", ""TAHAKE"", ""TAMBAKE"" , ""TOBAKE""",Caitlin,Tabake
